# v_0,v_f,d_min
9.000000000000000000e+03,9.000000219804856897e+03,3.645980557550914884e+08
9.040404040404040643e+03,9.040403885685869682e+03,3.642946827891352177e+08
9.080808080808081286e+03,9.080808275967805457e+03,3.639825866618540883e+08
9.121212121212121929e+03,9.121212071075744461e+03,3.636530697729501724e+08
9.161616161616160753e+03,9.161616492379764168e+03,3.633106457674360871e+08
9.202020202020201395e+03,9.202020282025276174e+03,3.629573293484581113e+08
9.242424242424242038e+03,9.242424072111452915e+03,3.625875331491683722e+08
9.282828282828282681e+03,9.282828454612923451e+03,3.622004210191105604e+08
9.323232323232323324e+03,9.323232263554911697e+03,3.617986222055769563e+08
9.363636363636363967e+03,9.363636326117115459e+03,3.613792045816031098e+08
9.404040404040404610e+03,9.404040606743708850e+03,3.609375347637816668e+08
9.444444444444445253e+03,9.444444382454357765e+03,3.604780403511202335e+08
9.484848484848484077e+03,9.484848513719498442e+03,3.599963153019899130e+08
9.525252525252524720e+03,9.525252707140974962e+03,3.594884643328996897e+08
9.565656565656565363e+03,9.565656605609949111e+03,3.589596464252547622e+08
9.606060606060606005e+03,9.606060551639842743e+03,3.583998904071602225e+08
9.646464646464646648e+03,9.646464906799456003e+03,3.578102070002355576e+08
9.686868686868687291e+03,9.686868950967664205e+03,3.571925364291030765e+08
9.727272727272727934e+03,9.727272746681919671e+03,3.565351065903276801e+08
9.767676767676766758e+03,9.767676777619748464e+03,3.558472190597672462e+08
9.808080808080807401e+03,9.808080865080415606e+03,3.551106885880382061e+08
9.848484848484848044e+03,9.848485031218579024e+03,3.543353904976088405e+08
9.888888888888888687e+03,9.888889186576532666e+03,3.535080632937741876e+08
9.929292929292929330e+03,9.929293234277572992e+03,3.526299868630056977e+08
9.969696969696969973e+03,9.969697365922929748e+03,3.516912727383736968e+08
1.001010101010101062e+04,1.001010146437608273e+04,3.506909492319334149e+08
1.005050505050504944e+04,1.005050529255683250e+04,3.496147300874447227e+08
1.009090909090909008e+04,1.009090944181350460e+04,3.484675231069297194e+08
1.013131313131313073e+04,1.013131345757952295e+04,3.472198125694400668e+08
1.017171717171717137e+04,1.017171733946089807e+04,3.458824997624930739e+08
1.021212121212121201e+04,1.021212150150981142e+04,3.444303588542205095e+08
1.025252525252525265e+04,1.025252543185251670e+04,3.428523006339817047e+08
1.029292929292929330e+04,1.029292984367349891e+04,3.411370196548607349e+08
1.033333333333333394e+04,1.033333372319634327e+04,3.392539781451789141e+08
1.037373737373737458e+04,1.037373784087877721e+04,3.371834547193689346e+08
1.041414141414141341e+04,1.041414208267858703e+04,3.349033518449339271e+08
1.045454545454545405e+04,1.045454648334693593e+04,3.323725369876000881e+08
1.049494949494949469e+04,1.049495055664143183e+04,3.295474756120625138e+08
1.053535353535353534e+04,1.053535509057966192e+04,3.263685507312633395e+08
1.057575757575757598e+04,1.057575955792390596e+04,3.227774841964166760e+08
1.061616161616161662e+04,1.061616407993712528e+04,3.186877237097190022e+08
1.065656565656565726e+04,1.065656915056737671e+04,3.139889273734022379e+08
1.069696969696969609e+04,1.069697457574364671e+04,3.085385187441265583e+08
1.073737373737373673e+04,1.073738097128705158e+04,3.021431649190688133e+08
1.077777777777777737e+04,1.077778909561835462e+04,2.945575938344860077e+08
1.081818181818181802e+04,1.081820041832180141e+04,2.854026143746976852e+08
1.085858585858585866e+04,1.085861839230561782e+04,2.742461058336344361e+08
1.089898989898989930e+04,1.089905205703658794e+04,2.605053873750911951e+08
1.093939393939393995e+04,1.093952616803011006e+04,2.434138852161602676e+08
1.097979797979797877e+04,1.098011946791041737e+04,2.228023603709834516e+08
1.102020202020201941e+04,1.102106043106859033e+04,1.997851000388383269e+08
1.106060606060606005e+04,1.106255764979514061e+04,1.783465514297502935e+08
1.110101010101010070e+04,1.110369913323311630e+04,1.610912099949422777e+08
1.114141414141414134e+04,1.114961423103225934e+04,6.496572575759907812e+07
1.118181818181818198e+04,1.116901469766409900e+04,2.470799314557633176e+07
1.122222222222222263e+04,9.201577159272840163e+02,1.289167731547079533e+08
1.126262626262626145e+04,1.324752864277419576e+03,1.218753520045318455e+08
1.130303030303030391e+04,1.632960086435988842e+03,1.160020493681068867e+08
1.134343434343434274e+04,1.892459777271575376e+03,1.107656091424640566e+08
1.138383838383838338e+04,2.121204165518860918e+03,1.063621379092469960e+08
1.142424242424242402e+04,2.328276598389940773e+03,1.022773010293995738e+08
1.146464646464646466e+04,2.519027905677384297e+03,9.871461260017120838e+07
1.150505050505050531e+04,2.696923845112992694e+03,9.555276562288522720e+07
1.154545454545454595e+04,2.864360968682236944e+03,9.255802761860451102e+07
1.158585858585858659e+04,3.023077711047965295e+03,8.989434704619187117e+07
1.162626262626262542e+04,3.174382437854895215e+03,8.749097347664237022e+07
1.166666666666666606e+04,3.319288952750672252e+03,8.520790608451016247e+07
1.170707070707070670e+04,3.458601621689801050e+03,8.304370918251013756e+07
1.174747474747474735e+04,3.592971088266000606e+03,8.108438721373015642e+07
1.178787878787878799e+04,3.722932698025277659e+03,7.928344105176141858e+07
1.182828282828282863e+04,3.848932867404063472e+03,7.758165264443372190e+07
1.186868686868686927e+04,3.971348725261492291e+03,7.595930964547780156e+07
1.190909090909090810e+04,4.090502038674413143e+03,7.439688106232573092e+07
1.194949494949494874e+04,4.206670041036088151e+03,7.294740869400091469e+07
1.198989898989898938e+04,4.320093492329628134e+03,7.160014026602578163e+07
1.203030303030303003e+04,4.430983235756741124e+03,7.033055885545383394e+07
1.207070707070707067e+04,4.539524814303391395e+03,6.911322307864117622e+07
1.211111111111111131e+04,4.645882871088939282e+03,6.796189324664689600e+07
1.215151515151515196e+04,4.750204000511217600e+03,6.680656829574146867e+07
1.219191919191919078e+04,4.852619605242433863e+03,6.571931873292012513e+07
1.223232323232323324e+04,4.953247820599784063e+03,6.469018810863782465e+07
1.227272727272727207e+04,5.052195482176558471e+03,6.372074826484677941e+07
1.231313131313131271e+04,5.149559432855080559e+03,6.279617813850805908e+07
1.235353535353535335e+04,5.245427840617134279e+03,6.189566986269235611e+07
1.239393939393939399e+04,5.339881245883655538e+03,6.105597652373777330e+07
1.243434343434343464e+04,5.432993455324969545e+03,6.025134662852962315e+07
1.247474747474747346e+04,5.524832242975257032e+03,5.941632736815891415e+07
1.251515151515151592e+04,5.615460056094907486e+03,5.862084069369807094e+07
1.255555555555555475e+04,5.704934683246319764e+03,5.785148938645435125e+07
1.259595959595959539e+04,5.793309470990335285e+03,5.712852258757699281e+07
1.263636363636363603e+04,5.880634031782090460e+03,5.643385931752752513e+07
1.267676767676767668e+04,5.966954455296450760e+03,5.576493834106634557e+07
1.271717171717171732e+04,6.052313710067630382e+03,5.511962844146611542e+07
1.275757575757575796e+04,6.136751890389822620e+03,5.448496768908260018e+07
1.279797979797979860e+04,6.220306467771604730e+03,5.388669686292544007e+07
1.283838383838383743e+04,6.303012638954314752e+03,5.330992483644174039e+07
1.287878787878787807e+04,6.384903330538315458e+03,5.274002557218216360e+07
1.291919191919191871e+04,6.466009503464010777e+03,5.215583590596568584e+07
1.295959595959595936e+04,6.546360364090696748e+03,5.159296647795313597e+07
1.300000000000000000e+04,6.625983353974209422e+03,5.103745449197207391e+07
